,Entity,Currency,AlphabeticCode,NumericCode,MinorUnit,WithdrawalDate
307,BRAZIL,New Cruzado,BRN,76,0,1990-03
308,BRAZIL,Cruzeiro Real,BRR,987,0,1994-07
309,BULGARIA,Lev A/52,BGJ,100,0,1989 to 1990
310,BULGARIA,Lev A/62,BGK,100,0,1989 to 1990
311,BULGARIA,Lev,BGL,100,0,2003-11
312,BURMA,Kyat,BUK,104,0,1990-02
313,CROATIA,Croatian Dinar,HRD,191,0,1995-01
314,CROATIA,Croatian Kuna,HRK,191,0,2015-06
315,CYPRUS,Cyprus Pound,CYP,196,0,2008-01
316,CZECHOSLOVAKIA,Krona A/53,CSJ,203,0,1989 to 1990
317,CZECHOSLOVAKIA,Koruna,CSK,200,0,1993-03
318,ECUADOR,Sucre,ECS,218,0,2000-09
319,ECUADOR,Unidad de Valor Constante (UVC),ECV,983,0,2000-09
320,EQUATORIAL GUINEA,Ekwele,GQE,226,0,1986-06
321,ESTONIA,Kroon,EEK,233,0,2011-01
322,EUROPEAN MONETARY CO-OPERATION FUND (EMCF),European Currency Unit (E.C.U),XEU,954,0,1999-01
323,FINLAND,Markka,FIM,246,0,2002-03
324,FRANCE,French Franc,FRF,250,0,2002-03
325,FRENCH GUIANA,French Franc,FRF,250,0,2002-03
326,FRENCH SOUTHERN TERRITORIES,French Franc,FRF,250,0,2002-03
327,GEORGIA,Georgian Coupon,GEK,268,0,1995-10
328,GEORGIA,Russian Ruble,RUR,810,0,1994-04
329,GERMAN DEMOCRATIC REPUBLIC,Mark der DDR,DDM,278,0,1990-07 to 1990-09
330,GERMANY,Deutsche Mark,DEM,276,0,2002-03
331,GHANA,Cedi,GHC,288,0,2008-01
332,GHANA,Ghana Cedi,GHP,939,0,2007-06
333,GREECE,Drachma,GRD,300,0,2002-03
334,GUADELOUPE,French Franc,FRF,250,0,2002-03
335,GUINEA,Syli,GNE,324,0,1989-12
336,GUINEA,Syli,GNS,324,0,1986-02
337,GUINEA-BISSAU,Guinea Escudo,GWE,624,0,1978 to 1981
338,GUINEA-BISSAU,Guinea-Bissau Peso,GWP,624,0,1997-05
339,HOLY SEE (VATICAN CITY STATE),Italian Lira,ITL,380,0,2002-03
340,ICELAND,Old Krona,ISJ,352,0,1989 to 1990
341,IRELAND,Irish Pound,IEP,372,0,2002-03
342,ISRAEL,Pound,ILP,376,0,1978 to 1981
343,ISRAEL,Old Shekel,ILR,376,0,1989 to 1990
344,ITALY,Italian Lira,ITL,380,0,2002-03
345,KAZAKHSTAN,Russian Ruble,RUR,810,0,1994-05
346,KYRGYZSTAN,Russian Ruble,RUR,810,0,1993-01
347,LAO,Pathet Lao Kip,LAJ,418,0,1979-12
348,LATVIA,Latvian Lats,LVL,428,0,2014-01
349,LATVIA,Latvian Ruble,LVR,428,0,1994-12
350,LESOTHO,Loti,LSM,426,0,1985-05
351,LESOTHO,Financial Rand,ZAL,991,0,1995-03
352,LITHUANIA,Lithuanian Litas,LTL,440,0,2014-12
353,LITHUANIA,Talonas,LTT,440,0,1993-07
354,LUXEMBOURG,Luxembourg Convertible Franc,LUC,989,0,1990-03
355,LUXEMBOURG,Luxembourg Franc,LUF,442,0,2002-03
356,LUXEMBOURG,Luxembourg Financial Franc,LUL,988,0,1990-03
357,MADAGASCAR,Malagasy Franc,MGF,450,0,2004-12
358,MALAWI,Kwacha,MWK,454,0,2016-02
359,MALDIVES,Maldive Rupee,MVQ,462,0,1989-12
360,MALI,Mali Franc,MLF,466,0,1984-11
361,MALTA,Maltese Lira,MTL,470,0,2008-01
362,MALTA,Maltese Pound,MTP,470,0,1983-06
363,MARTINIQUE,French Franc,FRF,250,0,2002-03
364,MAURITANIA,Ouguiya,MRO,478,0,2017-12
365,MAYOTTE,French Franc,FRF,250,0,2002-03
366,MEXICO,Mexican Peso,MXP,484,0,1993-01
367,"MOLDOVA, REPUBLIC OF",Russian Ruble,RUR,810,0,1993-12
368,MONACO,French Franc,FRF,250,0,2002-03
369,MOZAMBIQUE,Mozambique Escudo,MZE,508,0,1978 to 1981
370,MOZAMBIQUE,Mozambique Metical,MZM,508,0,2006-06
371,NETHERLANDS,Netherlands Guilder,NLG,528,0,2002-03
372,NETHERLANDS ANTILLES,Netherlands Antillean Guilder,ANG,532,0,2010-10
373,NICARAGUA,Cordoba,NIC,558,0,1990-10
374,PERU,Sol,PEH,604,0,1989 to 1990
375,PERU,Inti,PEI,604,0,1991-07
376,PERU,Nuevo Sol,PEN,604,0,2015-12
377,PERU,Sol,PES,604,0,1986-02
378,POLAND,Zloty,PLZ,616,0,1997-01
379,PORTUGAL,Portuguese Escudo,PTE,620,0,2002-03
380,RÉUNION,French Franc,FRF,250,0,2002-03
381,ROMANIA,Leu A/52,ROK,642,0,1989 to 1990
382,ROMANIA,Old Leu,ROL,642,0,2005-06
383,ROMANIA,New Romanian Leu,RON,946,0,2015-06
384,RUSSIAN FEDERATION,Russian Ruble,RUR,810,0,2004-01
385,SAINT MARTIN,French Franc,FRF,250,0,1999-01
386,SAINT PIERRE AND MIQUELON,French Franc,FRF,250,0,2002-03
387,SAINT-BARTHÉLEMY,French Franc,FRF,250,0,1999-01
388,SAN MARINO,Italian Lira,ITL,380,0,2002-03
389,SAO TOME AND PRINCIPE,Dobra,STD,678,0,2017-12
390,SERBIA AND MONTENEGRO,Serbian Dinar,CSD,891,0,2006-10
391,SERBIA AND MONTENEGRO,Euro,EUR,978,0,2006-10
392,SLOVAKIA,Slovak Koruna,SKK,703,0,2009-01
393,SLOVENIA,Tolar,SIT,705,0,2007-01
394,SOUTH AFRICA,Financial Rand,ZAL,991,0,1995-03
395,SOUTH SUDAN,Sudanese Pound,SDG,938,0,2012-09
396,SOUTHERN RHODESIA,Rhodesian Dollar,RHD,716,0,1978 to 1981
397,SPAIN,Spanish Peseta,ESA,996,0,1978 to 1981
398,SPAIN,"""A"" Account (convertible Peseta Account)",ESB,995,0,1994-12
399,SPAIN,Spanish Peseta,ESP,724,0,2002-03
400,SUDAN,Sudanese Dinar,SDD,736,0,2007-07
401,SUDAN,Sudanese Pound,SDP,736,0,1998-06
402,SURINAME,Surinam Guilder,SRG,740,0,2003-12
403,SWAZILAND,Lilangeni,SZL,748,0,2018-08
404,SWITZERLAND,WIR Franc (for electronic),CHC,948,0,2004-11
405,TAJIKISTAN,Russian Ruble,RUR,810,0,1995-05
406,TAJIKISTAN,Tajik Ruble,TJR,762,0,2001-04
407,TIMOR-LESTE,Rupiah,IDR,360,0,2002-07
408,TIMOR-LESTE,Timor Escudo,TPE,626,0,2002-11
409,TURKEY,Old Turkish Lira,TRL,792,0,2005-12
410,TURKEY,New Turkish Lira,TRY,949,0,2009-01
411,TURKMENISTAN,Russian Ruble,RUR,810,0,1993-10
412,TURKMENISTAN,Turkmenistan Manat,TMM,795,0,2009-01
413,UGANDA,Uganda Shilling,UGS,800,0,1987-05
414,UGANDA,Old Shilling,UGW,800,0,1989 to 1990
415,UKRAINE,Karbovanet,UAK,804,0,1996-09
416,UNION OF SOVIET SOCIALIST REPUBLICS,Rouble,SUR,810,0,1990-12
417,UNITED STATES,US Dollar (Same day),USS,998,0,2014-03
418,URUGUAY,Old Uruguay Peso,UYN,858,0,1989-12
419,URUGUAY,Uruguayan Peso,UYP,858,0,1993-03
420,UZBEKISTAN,Russian Ruble,RUR,810,0,1994-07
421,VENEZUELA,Bolivar,VEB,862,0,2008-01
422,VENEZUELA,Bolivar Fuerte,VEF,937,0,2011-12
423,VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolivar,VEF,937,0,2016-02
424,VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolívar,VEF,937,0,2018-08
425,VIETNAM,Old Dong,VNC,704,0,1989-1990
426,"YEMEN, DEMOCRATIC",Yemeni Dinar,YDD,720,0,1991-09
427,YUGOSLAVIA,New Yugoslavian Dinar,YUD,890,0,1990-01
428,YUGOSLAVIA,New Dinar,YUM,891,0,2003-07
429,YUGOSLAVIA,Yugoslavian Dinar,YUN,890,0,1995-11
430,ZAIRE,New Zaire,ZRN,180,0,1999-06
431,ZAIRE,Zaire,ZRZ,180,0,1994-02
432,ZAMBIA,Zambian Kwacha,ZMK,894,0,2012-12
433,ZIMBABWE,Rhodesian Dollar,ZWC,716,0,1989-12
434,ZIMBABWE,Zimbabwe Dollar (old),ZWD,716,0,2006-08
435,ZIMBABWE,Zimbabwe Dollar,ZWD,716,0,2008-08
436,ZIMBABWE,Zimbabwe Dollar (new),ZWN,942,0,2006-09
437,ZIMBABWE,Zimbabwe Dollar,ZWR,935,0,2009-06
438,ZZ01_Gold-Franc,Gold-Franc,XFO,0,0,2006-10
439,ZZ02_RINET Funds Code,RINET Funds Code,XRE,0,0,1999-11
440,ZZ05_UIC-Franc,UIC-Franc,XFU,0,0,2013-11
